Model,Avg_Latency_Base,Avg_Latency_Hpipe,Throughput_Base,Throughput_Hpipe,Reconfig_Time_Base,Reconfig_Time_Hpipe,Max_Mem_Base,Max_Mem_Hpipe
resnet50,0.017316548029581706,0.018467060724894204,1847.9433629228345,1732.8150092051708,2.0579333305358887,0.027235746383666992,19.25927734375,19.25927734375
mobilenet_v2,0.01366580327351888,0.014022056261698406,2341.6113461847126,2282.118927693137,2.0659165382385254,0.033194541931152344,18.48583984375,18.48583984375
vit,0.014980904261271159,0.014932028452555339,2136.0526335334002,2143.044402954094,2.0863282680511475,0.05302548408508301,68.84423828125,68.84423828125
llama,0.004363044102986654,0.004239034652709961,7334.328795369017,7548.888513931541,2.0323352813720703,0.00788259506225586,65.0927734375,64.2177734375
