Batch,Baseline,Hpipe
0,0.5766873359680176,0.49802327156066895
1,0.00867319107055664,0.008703470230102539
2,0.008637428283691406,0.008617401123046875
3,0.008569717407226562,0.008590936660766602
4,0.008558273315429688,0.008587360382080078
5,0.008553028106689453,0.008576393127441406
6,0.008555173873901367,0.008579492568969727
7,0.008542537689208984,0.008573055267333984
8,0.008553266525268555,0.008579730987548828
9,0.008550643920898438,0.00857686996459961
10,0.008547782897949219,0.008578777313232422
11,0.008541107177734375,0.008571147918701172
12,0.008553504943847656,0.008588552474975586
13,0.008544921875,0.008566617965698242
14,0.008543729782104492,0.00796055793762207
15,0.008546590805053711,0.007953643798828125
16,0.008560895919799805,0.007915735244750977
17,0.008542776107788086,0.00792551040649414
18,0.008549690246582031,0.007909774780273438
19,0.008545160293579102,0.007831335067749023
20,0.008550167083740234,0.007830381393432617
21,0.008544206619262695,0.0078122615814208984
22,0.008547544479370117,0.007796764373779297
23,0.00854635238647461,0.007802486419677734
24,0.008544683456420898,0.007816791534423828
25,0.008540630340576172,0.0077991485595703125
26,0.008543014526367188,0.007802248001098633
27,0.008545160293579102,0.007814407348632812
28,0.008414268493652344,0.007845878601074219
29,0.0079193115234375,0.007840871810913086
30,0.007928133010864258,0.007846355438232422
31,0.007850170135498047,0.007851362228393555
32,0.00785517692565918,0.007843017578125
33,0.007832527160644531,0.007840871810913086
34,0.00780487060546875,0.007844209671020508
35,0.007805585861206055,0.007836103439331055
36,0.007792949676513672,0.007850885391235352
37,0.007782697677612305,0.007839441299438477
38,0.007778167724609375,0.007833480834960938
39,0.007783651351928711,0.007831335067749023
40,0.007786989212036133,0.007840394973754883
41,0.007780313491821289,0.007831573486328125
42,0.007792234420776367,0.007830142974853516
43,0.007816076278686523,0.007840633392333984
44,0.007814645767211914,0.007840156555175781
45,0.007820606231689453,0.00783991813659668
46,0.0078105926513671875,0.007837057113647461
47,0.007812976837158203,0.007847785949707031
48,0.007817506790161133,0.007840394973754883
49,0.00781559944152832,0.007837772369384766
50,0.007804393768310547,0.007845878601074219
51,0.10161113739013672,0.10162210464477539
52,0.10196495056152344,0.10184264183044434
53,0.10202765464782715,0.10186100006103516
54,0.10207390785217285,0.10183525085449219
55,0.10212421417236328,0.10184717178344727
56,0.10201454162597656,0.10183238983154297
57,0.1019141674041748,0.10192084312438965
58,0.10195064544677734,0.10191488265991211
59,0.10195255279541016,0.10196805000305176
60,2.153317451477051,0.10189700126647949
61,0.10163736343383789,0.10155153274536133
62,0.10170102119445801,0.10149765014648438
63,0.10159158706665039,0.10147333145141602
64,0.10159540176391602,0.10148739814758301
65,0.10155320167541504,0.10146832466125488
66,0.10156750679016113,0.10146546363830566
67,0.10158538818359375,0.10143136978149414
68,0.10153436660766602,0.10144305229187012
69,0.10155510902404785,0.10145235061645508
70,0.10161828994750977,0.1014242172241211
71,0.10162162780761719,0.10144853591918945
72,0.10158014297485352,0.10149693489074707
73,0.10151338577270508,0.10146760940551758
74,0.10154056549072266,0.10141706466674805
75,0.10156035423278809,0.10160422325134277
76,0.10154008865356445,0.10158061981201172
77,0.10158824920654297,0.10158896446228027
78,0.10151290893554688,0.10165786743164062
79,0.10151791572570801,0.10146713256835938
80,0.10167574882507324,0.10152101516723633
81,0.1015310287475586,0.10141372680664062
82,0.10159564018249512,0.10163545608520508
83,0.10154223442077637,0.1014854907989502
84,0.10154128074645996,0.10159492492675781
85,0.10168719291687012,0.1015169620513916
86,0.1015310287475586,0.10149312019348145
87,0.10166811943054199,0.10147714614868164
88,0.10168075561523438,0.10147833824157715
89,0.10153818130493164,0.10144782066345215
90,0.10156559944152832,0.10147285461425781
91,0.10153460502624512,0.10145831108093262
92,0.10164189338684082,0.10141968727111816
93,0.10168051719665527,0.10150265693664551
94,0.10151195526123047,0.10148239135742188
95,0.10154056549072266,0.1014261245727539
96,0.10156917572021484,0.10148477554321289
97,0.10154986381530762,0.10146474838256836
98,0.10161232948303223,0.10146570205688477
99,0.10160279273986816,0.10152602195739746
