Batch,Baseline_Latency_s,Hpipe_Latency_s,Baseline_Memory_MB,Hpipe_Memory_MB
0,0.5207514762878418,0.5147716999053955,0.60888671875,0.8837890625
1,0.016279935836791992,0.01698923110961914,18.984375,19.25927734375
2,0.01616954803466797,0.016974210739135742,18.984375,19.25927734375
3,0.016271591186523438,0.0169827938079834,18.984375,19.25927734375
4,0.016297340393066406,0.0170133113861084,18.984375,19.25927734375
5,0.01524806022644043,0.01692056655883789,18.984375,19.25927734375
6,0.013547658920288086,0.016962289810180664,18.984375,19.25927734375
7,0.013513326644897461,0.016686439514160156,18.984375,19.25927734375
8,0.013511180877685547,0.014450550079345703,18.984375,19.25927734375
9,0.013512611389160156,0.014529943466186523,18.984375,19.25927734375
10,0.013479948043823242,0.014512777328491211,18.984375,19.25927734375
11,0.01349782943725586,0.014543771743774414,18.984375,19.25927734375
12,0.013499021530151367,0.01449894905090332,18.984375,19.25927734375
13,0.013487577438354492,0.014516830444335938,18.984375,19.25927734375
14,0.013458013534545898,0.01443338394165039,18.984375,19.25927734375
15,0.01349186897277832,0.01440119743347168,18.984375,19.25927734375
16,0.013445854187011719,0.014523029327392578,18.984375,19.25927734375
17,0.013519287109375,0.014539480209350586,18.984375,19.25927734375
18,0.013495206832885742,0.014523983001708984,18.984375,19.25927734375
19,0.01349186897277832,0.014535188674926758,18.984375,19.25927734375
20,0.013513803482055664,0.014512062072753906,18.984375,19.25927734375
21,0.013332128524780273,0.014544963836669922,18.984375,19.25927734375
22,0.013525009155273438,0.014532804489135742,18.984375,19.25927734375
23,0.013499975204467773,0.014530181884765625,18.984375,19.25927734375
24,0.013513326644897461,0.014471292495727539,18.984375,19.25927734375
25,0.013471603393554688,0.01451730728149414,18.984375,19.25927734375
26,0.013489484786987305,0.01449275016784668,18.984375,19.25927734375
27,0.013500690460205078,0.014513969421386719,18.984375,19.25927734375
28,0.013509511947631836,0.014519214630126953,18.984375,19.25927734375
29,0.013507604598999023,0.01433563232421875,18.984375,19.25927734375
30,0.013522624969482422,0.01451420783996582,18.984375,19.25927734375
31,0.013476133346557617,0.014512777328491211,18.984375,19.25927734375
32,0.013500690460205078,0.014512300491333008,18.984375,19.25927734375
33,0.013504743576049805,0.014525651931762695,18.984375,19.25927734375
34,0.013458490371704102,0.014542341232299805,18.984375,19.25927734375
35,0.013517141342163086,0.014503240585327148,18.984375,19.25927734375
36,0.013491153717041016,0.014522075653076172,18.984375,19.25927734375
37,0.013261556625366211,0.01452326774597168,18.984375,19.25927734375
38,0.013480424880981445,0.014514446258544922,18.984375,19.25927734375
39,0.013522863388061523,0.014532327651977539,18.984375,19.25927734375
