Model,Avg_Latency_Base,Avg_Latency_Hpipe,Throughput_Base,Throughput_Hpipe,Reconfig_Time_Base,Reconfig_Time_Hpipe,Max_Mem_Base,Max_Mem_Hpipe
resnet50,0.1432801342010498,0.10260313987731934,223.33870761942333,311.88129367446066,2.1286802291870117,0.09405159950256348,1367.75927734375,1367.75927734375
mobilenet_v2,0.1335971784591675,0.09306070327758789,239.52601670985476,343.86157500387884,2.1160166263580322,0.08225083351135254,1504.48583984375,1504.48583984375
vit,0.10069791793823242,0.060417490005493166,317.7821414304577,529.647954542477,2.0685081481933594,0.05437207221984863,829.95947265625,839.49072265625
llama,0.13771432399749756,0.09721149444580078,232.36508063301739,329.17917970946587,2.1099681854248047,0.08759188652038574,290.6865234375,289.8115234375
