Batch,Baseline_Latency_s,Hpipe_Latency_s,Baseline_Memory_MB,Hpipe_Memory_MB
86,0.10131096839904785,0.10121464729309082,1504.04833984375,1504.04833984375
87,0.10136008262634277,0.10118794441223145,1504.04833984375,1504.04833984375
88,0.10130167007446289,0.10114455223083496,1504.04833984375,1504.04833984375
89,0.10133647918701172,0.1012120246887207,1504.04833984375,1504.04833984375
90,0.10127019882202148,0.1011972427368164,1504.04833984375,1504.04833984375
91,0.10134434700012207,0.10150575637817383,1504.04833984375,1504.04833984375
92,0.1013801097869873,0.10122156143188477,1504.04833984375,1504.04833984375
93,0.10130739212036133,0.10126709938049316,1504.04833984375,1504.04833984375
94,0.10131001472473145,0.10121417045593262,1504.04833984375,1504.04833984375
95,0.10131692886352539,0.10117721557617188,1504.04833984375,1504.04833984375
96,0.10093140602111816,0.1011667251586914,1504.04833984375,1504.04833984375
97,0.10153818130493164,0.10148453712463379,1504.04833984375,1504.04833984375
98,0.10140752792358398,0.10130524635314941,1504.04833984375,1504.04833984375
99,0.10158133506774902,0.10142254829406738,1504.04833984375,1504.04833984375
