Batch,Baseline_Latency_s,Hpipe_Latency_s,Baseline_Memory_MB,Hpipe_Memory_MB
0,0.4807875156402588,0.44759273529052734,205.25439453125,218.27978515625
1,0.004038095474243164,0.003787517547607422,205.2548828125,218.2802734375
2,0.0034923553466796875,0.003448963165283203,205.2548828125,218.2802734375
3,0.0034317970275878906,0.003418445587158203,205.2548828125,218.2802734375
4,0.003477811813354492,0.003531932830810547,205.2548828125,218.2802734375
5,0.0034341812133789062,0.0034177303314208984,205.2548828125,218.2802734375
6,0.003436565399169922,0.0034067630767822266,205.2548828125,218.2802734375
7,0.003435373306274414,0.0033974647521972656,205.2548828125,218.2802734375
8,0.0034296512603759766,0.0035772323608398438,205.2548828125,218.2802734375
9,0.0033271312713623047,0.003412008285522461,205.2548828125,218.2802734375
10,0.0034580230712890625,0.0034074783325195312,205.2548828125,218.2802734375
11,0.0034303665161132812,0.003420591354370117,205.2548828125,218.2802734375
12,0.0035610198974609375,0.003540515899658203,205.2548828125,218.2802734375
13,0.003420114517211914,0.0034046173095703125,205.2548828125,218.2802734375
14,0.0034377574920654297,0.0033943653106689453,205.2548828125,218.2802734375
15,0.0034286975860595703,0.0034041404724121094,205.2548828125,218.2802734375
16,0.003442525863647461,0.0034198760986328125,205.2548828125,218.2802734375
17,0.0034422874450683594,0.003405332565307617,205.2548828125,218.2802734375
18,0.003427267074584961,0.0034112930297851562,205.2548828125,218.2802734375
19,0.003443479537963867,0.003420114517211914,205.2548828125,218.2802734375
20,0.0034415721893310547,0.0032393932342529297,205.2548828125,218.2802734375
21,0.0034241676330566406,0.003427267074584961,205.2548828125,218.2802734375
22,0.0034263134002685547,0.003421306610107422,205.2548828125,218.2802734375
23,0.003443002700805664,0.003426790237426758,205.2548828125,218.2802734375
24,0.004285097122192383,0.003410816192626953,205.2548828125,218.2802734375
25,0.0045318603515625,0.004364728927612305,205.2548828125,218.2802734375
26,0.0028433799743652344,0.00341796875,205.2548828125,218.2802734375
27,0.0034303665161132812,0.003409147262573242,205.2548828125,218.2802734375
28,0.003423452377319336,0.0033936500549316406,205.2548828125,218.2802734375
29,0.0034325122833251953,0.0033957958221435547,205.2548828125,218.2802734375
30,0.0034651756286621094,0.003418445587158203,205.2548828125,218.2802734375
31,0.0034704208374023438,0.003423452377319336,205.2548828125,218.2802734375
32,0.0034532546997070312,0.003401517868041992,205.2548828125,218.2802734375
33,0.0034554004669189453,0.003422260284423828,205.2548828125,218.2802734375
34,0.003439188003540039,0.003411531448364258,205.2548828125,218.2802734375
35,0.0034627914428710938,0.0034029483795166016,205.2548828125,218.2802734375
36,0.0034775733947753906,0.003389596939086914,205.2548828125,218.2802734375
37,0.003452301025390625,0.0031671524047851562,205.2548828125,218.2802734375
38,0.00344085693359375,0.003416299819946289,205.2548828125,218.2802734375
39,0.0034513473510742188,0.003627777099609375,205.2548828125,218.2802734375
40,0.003453969955444336,0.003419637680053711,205.2548828125,218.2802734375
41,0.003454446792602539,0.0034024715423583984,205.2548828125,218.2802734375
42,0.003441333770751953,0.0034110546112060547,205.2548828125,218.2802734375
43,0.003453493118286133,0.0034258365631103516,205.2548828125,218.2802734375
44,0.0034439563751220703,0.003411531448364258,205.2548828125,218.2802734375
45,0.003446340560913086,0.0034067630767822266,205.2548828125,218.2802734375
46,0.003829479217529297,0.003720998764038086,205.2548828125,218.2802734375
47,0.0031354427337646484,0.003404855728149414,205.2548828125,218.2802734375
48,0.0034482479095458984,0.0034029483795166016,205.2548828125,218.2802734375
49,0.0034720897674560547,0.003408670425415039,205.2548828125,218.2802734375
50,0.003457784652709961,0.0033998489379882812,205.2548828125,218.2802734375
51,0.15248727798461914,0.15251493453979492,205.2548828125,218.2802734375
52,0.15317869186401367,0.15291690826416016,205.2548828125,218.2802734375
53,0.15309405326843262,0.15304064750671387,205.2548828125,218.2802734375
54,0.15295720100402832,0.15323781967163086,205.2548828125,218.2802734375
55,0.15298724174499512,0.1529223918914795,205.2548828125,218.2802734375
56,0.1529841423034668,0.1531202793121338,205.2548828125,218.2802734375
57,0.15300703048706055,0.15288567543029785,205.2548828125,218.2802734375
58,0.15316081047058105,0.15252399444580078,205.2548828125,218.2802734375
59,0.15299105644226074,0.15294933319091797,205.2548828125,218.2802734375
60,2.1099681854248047,0.08759188652038574,290.6865234375,289.8115234375
61,0.0869901180267334,0.08694243431091309,290.6865234375,289.8115234375
62,0.08698296546936035,0.08690810203552246,290.6865234375,289.8115234375
63,0.0870521068572998,0.08684468269348145,290.6865234375,289.8115234375
64,0.08695101737976074,0.08687496185302734,290.6865234375,289.8115234375
65,0.08719325065612793,0.08689069747924805,290.6865234375,289.8115234375
66,0.08719563484191895,0.08691620826721191,290.6865234375,289.8115234375
