Model,Avg_Latency_Base,Avg_Latency_Hpipe,Throughput_Base,Throughput_Hpipe,Reconfig_Time_Base,Reconfig_Time_Hpipe,Max_Mem_Base,Max_Mem_Hpipe
resnet50,0.0424675178527832,0.04268270492553711,753.5170788867475,749.7181834147153,2.0844647884368896,0.05305814743041992,19.25927734375,19.25927734375
mobilenet_v2,0.013641319274902343,0.014362649917602539,2345.814166146997,2228.0011128574206,2.066965341567993,0.03508877754211426,18.48583984375,18.48583984375
vit,0.017102727890014647,0.01577360153198242,1871.046549169683,2028.705995591246,2.0857110023498535,0.05388498306274414,68.84423828125,68.84423828125
llama,0.011423225402832032,0.011034460067749023,2801.310389276447,2900.005963456973,2.0351486206054688,0.014683961868286133,65.0927734375,64.2177734375
