Batch,Baseline_Latency_s,Hpipe_Latency_s,Baseline_Memory_MB,Hpipe_Memory_MB
0,0.4389064311981201,0.44953083992004395,44.05126953125,56.07666015625
1,0.005262613296508789,0.005799293518066406,52.1923828125,64.2177734375
2,0.005578517913818359,0.004884481430053711,52.1923828125,64.2177734375
3,0.0047686100006103516,0.004857063293457031,52.1923828125,64.2177734375
4,0.0054509639739990234,0.0048983097076416016,52.1923828125,64.2177734375
5,0.004786252975463867,0.004622459411621094,52.1923828125,64.2177734375
6,0.005381584167480469,0.004942655563354492,52.1923828125,64.2177734375
7,0.00476527214050293,0.004885435104370117,52.1923828125,64.2177734375
8,0.005421161651611328,0.004881620407104492,52.1923828125,64.2177734375
9,0.004737377166748047,0.004569053649902344,52.1923828125,64.2177734375
10,0.005919456481933594,0.005534648895263672,52.1923828125,64.2177734375
11,0.004602909088134766,0.005066633224487305,52.1923828125,64.2177734375
12,0.005350828170776367,0.005044460296630859,52.1923828125,64.2177734375
13,0.0047490596771240234,0.0051729679107666016,52.1923828125,64.2177734375
14,0.005337715148925781,0.005136013031005859,52.1923828125,64.2177734375
15,0.004464626312255859,0.005023956298828125,52.1923828125,64.2177734375
16,0.0048258304595947266,0.005171537399291992,52.1923828125,64.2177734375
17,0.004458427429199219,0.004645347595214844,52.1923828125,64.2177734375
18,0.0048487186431884766,0.005418539047241211,52.1923828125,64.2177734375
19,0.004366636276245117,0.004802703857421875,52.1923828125,64.2177734375
20,0.0047986507415771484,0.00539708137512207,52.1923828125,64.2177734375
21,0.0043756961822509766,0.005049943923950195,52.1923828125,64.2177734375
22,0.004843950271606445,0.004531145095825195,52.1923828125,64.2177734375
23,0.005291461944580078,0.00439763069152832,52.1923828125,64.2177734375
24,0.005663394927978516,0.0051975250244140625,52.1923828125,64.2177734375
25,0.003290414810180664,0.004120349884033203,52.1923828125,64.2177734375
26,0.0047914981842041016,0.004696846008300781,52.1923828125,64.2177734375
27,0.0043087005615234375,0.00402069091796875,52.1923828125,64.2177734375
28,0.004806041717529297,0.004542827606201172,52.1923828125,64.2177734375
29,0.004372596740722656,0.0040357112884521484,52.1923828125,64.2177734375
30,0.004782438278198242,0.004542112350463867,52.1923828125,64.2177734375
31,0.004914045333862305,0.004034519195556641,52.1923828125,64.2177734375
32,0.0051822662353515625,0.004703044891357422,52.1923828125,64.2177734375
33,0.0047605037689208984,0.004027128219604492,52.1923828125,64.2177734375
34,0.005084514617919922,0.0044596195220947266,52.1923828125,64.2177734375
35,0.0046880245208740234,0.003891468048095703,52.1923828125,64.2177734375
36,0.0050847530364990234,0.004378080368041992,52.1923828125,64.2177734375
